scaling_method,root_age
mbl,257.628017550767
mbl,257.812945681151
mbl,257.584069349733
mbl,256.169360610924
mbl,255.788308944136
mbl,255.065866525955
mbl,256.512268687331
mbl,255.40293543708
mbl,256.445596038196
mbl,256.038661874277
mbl,255.544652634636
mbl,256.827664387617
mbl,255.749437144231
mbl,262.405546141393
mbl,259.108356892182
mbl,262.359521679846
mbl,264.613601739858
mbl,265.288475259137
mbl,258.627216262859
mbl,260.387988961511
mbl,260.644093670184
mbl,265.845717085898
mbl,262.640570361456
mbl,259.59590385498
mbl,260.099019147223
mbl,260.394064642023
mbl,260.736013387656
mbl,260.388361172229
mbl,260.321978599415
mbl,262.253935302887
mbl,259.576897992683
mbl,260.475026364136
mbl,260.00825115433
mbl,259.622182717244
mbl,259.762756338918
mbl,260.557041263052
mbl,259.642789710942
mbl,259.623150724266
mbl,259.545084928442
mbl,260.530211024983
mbl,259.422753124661
mbl,260.411414917579
mbl,259.289834068785
mbl,261.741429535265
mbl,261.790788189645
mbl,261.831691576664
mbl,263.091019741031
mbl,262.803228007231
mbl,262.195471151262
mbl,261.624162044288
mbl,261.66644974017
mbl,262.070891847403
mbl,262.659923500975
mbl,260.92941074718
mbl,260.214076144749
mbl,259.607547432082
mbl,261.424123634982
mbl,260.844347405818
mbl,259.674855915965
mbl,260.632468111774
mbl,260.428824484306
mbl,260.239942352723
mbl,260.22515371887
mbl,259.232555602035
mbl,260.344918682808
mbl,259.606216256749
mbl,260.894921679385
mbl,259.256704931362
mbl,259.500333230307
mbl,259.531970682559
mbl,259.209138796092
mbl,258.620529487296
mbl,259.380550532825
mbl,259.59975138288
mbl,259.575056842575
mbl,259.521756430319
mbl,259.569076711298
mbl,259.464455814846
mbl,259.325647621346
mbl,259.69201648368
mbl,259.683315094374
mbl,259.558779281029
mbl,259.421629256965
mbl,261.621984257177
mbl,261.483482370665
mbl,261.683923396911
mbl,261.418071006937
mbl,261.393061606958
mbl,261.450418705982
mbl,261.661092510144
mbl,261.39916702155
